"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"gender1","1","0",1,24,0,0,0,0,0,0,0,0,NA,NA,0
"gender2","2","1",1,7608,1,0,1,1,0,1,1,0,NA,NA,0
"gender3","3","2",1,11985,2,0,2,2,0,2,2,0,NA,NA,0
"gender4","4","3",1,102,3,0,3,3,0,3,3,0,NA,NA,0
"E11","5","0",2,24,2.45833333333333,1.35065738154383,2,2.35,1.4826,1,5,4,0.388879846230588,-1.21093187332006,0.275701783508834
"E12","6","1",2,7608,2.61711356466877,1.24376461435311,3,2.55009855453351,1.4826,1,5,4,0.237535703255873,-0.975114029841684,0.014259455585534
"E13","7","2",2,11985,2.64088443888194,1.22455294916665,3,2.58504536448013,1.4826,0,5,5,0.187271410204668,-0.947568797204469,0.011185581059513
"E14","8","3",2,102,2.14705882352941,1.21375824842283,2,1.98780487804878,1.4826,1,5,4,0.806143906193152,-0.356721906936478,0.120179974744353
"E21","9","0",3,24,2.79166666666667,1.14128709441755,3,2.8,1.4826,1,5,4,-0.113769555871543,-1.04092040832545,0.232964252612218
"E22","10","1",3,7608,2.96122502628812,1.32859270978907,3,2.95154402102497,1.4826,1,5,4,0.039760080856457,-1.14418547007177,0.015231988848915
"E23","11","2",3,11985,2.6264497288277,1.2866981292302,3,2.53321514235061,1.4826,0,5,5,0.321887797115618,-0.978374441649446,0.011753241240751
"E24","12","3",3,102,3.38235294117647,1.32039686238615,3.5,3.47560975609756,2.2239,1,5,4,-0.360656272832597,-1.00064554877693,0.130738770904575
"E31","13","0",4,24,3.29166666666667,1.30147630777903,3,3.35,1.4826,1,5,4,-0.296440516562655,-1.03597587029464,0.265662738865005
"E32","14","1",4,7608,3.37986330178759,1.23594743625336,4,3.4523653088042,1.4826,1,5,4,-0.306970373084304,-0.92176614944323,0.014169833560087
"E33","15","2",4,11985,3.44755944931164,1.23347863873978,4,3.53530086557514,1.4826,0,5,5,-0.392486497773591,-0.835496555232376,0.011267112057663
"E34","16","3",4,102,2.57843137254902,1.32333418176581,2,2.47560975609756,1.4826,1,5,4,0.492149268930874,-0.90495942409831,0.131029608861246
"E41","17","0",5,24,3.125,1.22696160600432,3,3.15,1.4826,1,5,4,0.04441057644796,-1.11068453311872,0.250452489058029
"E42","18","1",5,7608,3.24973711882229,1.22017458264191,3,3.3042049934297,1.4826,1,5,4,-0.205029524659628,-0.91323754120922,0.013989001670408
"E43","19","2",5,11985,3.08644138506466,1.21963953194099,3,3.10814474919178,1.4826,0,5,5,-0.034243065470138,-0.92719556025963,0.011140699842499
"E44","20","3",5,102,3.57843137254902,1.23830189148348,4,3.68292682926829,1.4826,1,5,4,-0.50336086875381,-0.814132446750932,0.122610157531574
"E51","21","0",6,24,3.54166666666667,1.28466428254256,4,3.65,1.4826,1,5,4,-0.56003059695354,-0.952323480437696,0.262230998583992
"E52","22","1",6,7608,3.30927970557308,1.28992133447632,3,3.38649802890933,1.4826,1,5,4,-0.276561516028518,-1.04939523913837,0.014788631036399
"E53","23","2",6,11985,3.51639549436796,1.26743607967732,4,3.62780269058296,1.4826,0,5,5,-0.479020795804298,-0.836942036185764,0.01157729358835
"E54","24","3",6,102,2.68627450980392,1.42106076790421,2,2.60975609756098,1.4826,1,5,4,0.311272355589846,-1.29093368861574,0.14070598277609
"E61","25","0",7,24,2.125,0.991814323436556,2,2,0.7413,1,5,4,1.04498345458443,0.988959020125556,0.202453251000273
"E62","26","1",7,7608,2.59608307045216,1.27930423833878,2,2.49523653088042,1.4826,1,5,4,0.417246111605678,-0.934664473692045,0.01466690863887
"E63","27","2",7,11985,2.36020025031289,1.2081449052574,2,2.24319532797998,1.4826,0,5,5,0.62253253856054,-0.579213577364266,0.011035703093599
"E64","28","3",7,102,2.68627450980392,1.28186429949278,2,2.60975609756098,1.4826,1,5,4,0.341398501412698,-1.03542478978511,0.126923478657229
"E71","29","0",8,24,2.70833333333333,1.42886901662352,3,2.65,1.4826,1,5,4,-0.018795687814116,-1.56736993266694,0.291666666666667
"E72","30","1",8,7608,2.79192954784437,1.41373125292838,3,2.7399802890933,1.4826,1,5,4,0.210256263126576,-1.27698815350242,0.016208081318906
"E73","31","2",8,11985,2.92231956612432,1.43972927554255,3,2.90301387005944,1.4826,0,5,5,0.064851195001296,-1.34145753370653,0.013151092017944
"E74","32","3",8,102,2.05882352941176,1.3557616646454,1,1.85365853658537,0,1,5,4,0.933248727701861,-0.544129831720244,0.134240408111061
"E81","33","0",9,24,3.5,1.25108648434245,4,3.6,1.4826,1,5,4,-0.446833839845688,-0.88257137345679,0.255376959227625
"E82","34","1",9,7608,3.37723449001051,1.27969330767272,4,3.46024967148489,1.4826,1,5,4,-0.301965006574854,-1.0264624271638,0.014671369223151
"E83","35","2",9,11985,3.37171464330413,1.25798554927959,3,3.44519762227552,1.4826,0,5,5,-0.26929392277973,-0.989313170474994,0.011490968473629
"E84","36","3",9,102,3.85294117647059,1.180678264737,4,3.98780487804878,1.4826,1,5,4,-0.753882199922234,-0.50650939894684,0.11690456828753
"E91","37","0",10,24,3.08333333333333,1.282547284209,3,3.1,1.4826,1,5,4,-0.029076489458499,-1.13804615281363,0.261798868108698
"E92","38","1",10,7608,3.22620925341745,1.36981362299941,3,3.28268725361367,1.4826,1,5,4,-0.216395681367855,-1.21292201938467,0.015704576486748
"E93","39","2",10,11985,3.01493533583646,1.40676906901067,3,3.01877150902075,1.4826,0,5,5,-0.019830674709037,-1.29421959967182,0.012850019645246
"E94","40","3",10,102,2.57843137254902,1.37470986685043,2,2.47560975609756,1.4826,1,5,4,0.483182268127821,-0.98467751450012,0.136116559696774
"E101","41","0",11,24,3.625,1.17260393995586,4,3.75,1.4826,1,5,4,-0.67594318026381,-0.253830922865014,0.239356776939085
"E102","42","1",11,7608,3.59752891692955,1.28319642997749,4,3.71353482260184,1.4826,1,5,4,-0.516604187429272,-0.909005927952281,0.014711531659305
"E103","43","2",11,11985,3.57221526908636,1.31933056936166,4,3.69976014182918,1.4826,0,5,5,-0.494503395819174,-0.958963556089028,0.012051319657457
"E104","44","3",11,102,4.20588235294118,0.988430451928389,5,4.36585365853659,0,2,5,3,-0.962810860751308,-0.290265959575917,0.097869198338022
